name,Vendor,description,promocode,gotolink,date_end,types
Up to 70% off dresses! ,FLORYDAY,Promo code is not required. Deal applies only to a specific category of goods. ,GET THE DEAL,http://dealsapply.com/080,31-12-2019,Clothing&Footwear
Up to 50% off tops! ,FLORYDAY,Promo code is not required. Deal applies only to a specific category of goods. ,GET THE DEAL,http://dealsapply.com/081,31-12-2019,Clothing&Footwear
GET 15% cashback on marketplace (lifestyle & electronics) and luxury,Tatacliq ,"8 days of sale spree on CLiQ with Citi bank as an exclusive partner, cashback applicable on all brands and products (excluding Westside, precious jewelry and coins)



15% cashback on marketplace (lifestyle & electronics) and luxury
Valid across all brands and products
Valid on Citi bank credit and debit cards
Min purchase value 3000 INR
Max cashback value 2500 INR
No coupon code require to avail this offer
Cashback will get credited after 90 days of purchase
Valid from 19th Jan 0000 hrs till 26th Jan 2359 hrs 
Cashback offer can also be clubbed with all existing and live coupons
Card can be used twice once in marketplace and once in luxury
Exclusions: Gift Cards, Westside, Precious Jewelry and Coins",Not required,http://dealsapply.com/082,26-01-2019,Mobile & Electronics
"Get additional 15% discount on all VoltasBeko products
",Tatacliq ,"Get additional 15% discount on all VoltasBeko products
No Cost EMI available.
Use coupon code: BEKO
Valid till 31st Jan 2019
Note: Discount is revised from 10% to 15% now",BEKO,http://dealsapply.com/083,31-01-2019,Mobile & Electronics
Get additional 15% discount on all VoltasBeko products,Tatacliq ,"Get additional 15% discount on all VoltasBeko products
No Cost EMI available.
Use coupon code: BEKO
Valid till 31st Jan 2019
Note: Discount is revised from 10% to 15% now",BEKO,http://dealsapply.com/084,31-01-2019,Mobile & Electronics
"GET  Flat 500 Off  ON  Axis Bank 
",Tatacliq ,"Minimum Purchase: Rs.  5,000
", AXISWED500 ,http://dealsapply.com/085,16-01-2019,Mobile & Electronics
"GET  5% Instant Discount  ON  Axis Bank 
",Tatacliq ,"Minimum Purchase:Rs.15,000
", AXISWED5 ,http://dealsapply.com/086,16-01-2019,Mobile & Electronics
"Save upto Rs 11,790 On Inspiron 5580",Dell,,GET THE DEAL,http://dealsapply.com/087,01-02-2019,Mobile & Electronics
"Save Upto Rs 11,790 on New Inspiron 14 5480",Dell,,GET THE DEAL,http://dealsapply.com/088,01-02-2019,Mobile & Electronics
"Save upto Rs 19,770 on Inspiron 14 7572",Dell,,GET THE DEAL,http://dealsapply.com/089,01-02-2019,Mobile & Electronics
Get upto 50% off on Washing machines,Amazon ,,GET THE DEAL,http://dealsapply.com/090,19-01-2019,Mobile & Electronics
Get upto 86% off onHardware,ShopClues,,GET THE DEAL,http://dealsapply.com/091,19-01-2019,Mobile & Electronics
Get upto 40% off on Helmets,Amazon ,,GET THE DEAL,http://dealsapply.com/092,19-01-2019,Mobile & Electronics
Get upto 35% off on Laptops,Tatacliq,,GET THE DEAL,http://dealsapply.com/093,19-01-2019,Mobile & Electronics
Get upto 40% off onRefrigerators,Paytm,,GET THE DEAL,http://dealsapply.com/094,19-01-2019,Mobile & Electronics
Get upto 40% off on Cloudwalker Televisions,Paytm,,GET THE DEAL,http://dealsapply.com/095,19-01-2019,Mobile & Electronics
Get upto 40% Cashback on BodyMassager,Paytm,,GET THE DEAL,http://dealsapply.com/096,19-01-2019,Clothing&Footwear
Get upto 60% off on Westside,Tatacliq ,,GET THE DEAL,http://dealsapply.com/097,19-01-2019,Clothing&Footwear
Flat 50% off onMen's Reebok Walking Tread Fast,Reebok,,GET THE DEAL,http://dealsapply.com/098,19-01-2019,Clothing&Footwear
Get upto 70% off onPremiumgensale,Jabong,,GET THE DEAL,http://dealsapply.com/099,19-01-2019,Clothing&Footwear
Get upto 60% off onTokyo Talkies,Myntra,,GET THE DEAL,http://dealsapply.com/100,19-01-2019,Clothing&Footwear
Get upto 40% off onWomen's Fashion Jewellery,ShopClues,,GET THE DEAL,http://dealsapply.com/101,19-01-2019,Clothing&Footwear
Get upto 68% off onEthnic Wear,LimeRoad,,GET THE DEAL,http://dealsapply.com/102,19-01-2019,Clothing&Footwear
Get upto 80% off on Fashion,SheIn,,GET THE DEAL,http://dealsapply.com/103,19-01-2019,Clothing&Footwear
Flat 50 % off onActivewear,Paytm,,GET THE DEAL,http://dealsapply.com/104,19-01-2019,Clothing&Footwear
"Get upto 50% off onSports, Fitness & Outdoors",Amazon ,,GET THE DEAL,http://dealsapply.com/105,19-01-2019,Clothing&Footwear
Get upto 60% off on Storage Devices,Snapdeal,,GET THE DEAL,http://dealsapply.com/106,19-01-2019,Clothing&Footwear
Get upto 50% off onFootwear,Tatacliq ,,GET THE DEAL,http://dealsapply.com/107,19-01-2019,Clothing&Footwear
Flat Rs. 999 on Selected Brands,Jabong,,GET THE DEAL,http://dealsapply.com/108,19-01-2019,Clothing&Footwear
Get upto 60% off onAdidas,Myntra,,GET THE DEAL,http://dealsapply.com/109,19-01-2019,Clothing&Footwear
Get upto 60% off on Zink London,Shoppersstop,,GET THE DEAL,http://dealsapply.com/110,19-01-2019,Clothing&Footwear
Clearance Sale Get upto 70% off on all Products,Durian,,GET THE DEAL,http://dealsapply.com/111,19-01-2019,Clothing&Footwear
Get upto 70% off on Men's Clothing,Koovs,,GET THE DEAL,http://dealsapply.com/112,19-01-2019,Clothing&Footwear
Flat 50% off onTunics,Global Desi,,GET THE DEAL,http://dealsapply.com/113,19-01-2019,Clothing&Footwear
Get upto 60% off onClothes & Shoes Products,Firstcry,,GET THE DEAL,http://dealsapply.com/114,19-01-2019,Clothing&Footwear
Flat 50% off on Everything,Caprese,,GET THE DEAL,http://dealsapply.com/115,19-01-2019,Clothing&Footwear
Buy 1 Get 1 Free On Everything,Zivame,,GET THE DEAL,http://dealsapply.com/116,19-01-2019,Clothing&Footwear
Get upto 75% off on Laptop Bags,Flipkart,,GET THE DEAL,http://dealsapply.com/117,19-01-2019,Clothing&Footwear
Get upto 65% off on Wedges,Flipkart,,GET THE DEAL,http://dealsapply.com/118,19-01-2019,Clothing&Footwear
Get upto 70% off on Sling Bags,Flipkart,,GET THE DEAL,http://dealsapply.com/119,19-01-2019,Clothing&Footwear
Get upto 70% off on Men's Clothing,Flipkart,,GET THE DEAL,http://dealsapply.com/120,19-01-2019,Clothing&Footwear
Get upto 40% off onJeans,Snapdeal,,GET THE DEAL,http://dealsapply.com/121,19-01-2019,Clothing&Footwear
Get upto 50% off on Kitchen & Dining Winter Store,Amazon ,,GET THE DEAL,http://dealsapply.com/122,19-01-2019,Homeware&Furniture
Get upto 70% off on Home Entertainment,Snapdeal,,GET THE DEAL,http://dealsapply.com/123,19-01-2019,Homeware&Furniture
Get upto 77% off onBed Accessories,LimeRoad,,GET THE DEAL,http://dealsapply.com/124,19-01-2019,Homeware&Furniture
Get upto 40% off on Curtains,ShopClues,,GET THE DEAL,http://dealsapply.com/125,19-01-2019,Homeware&Furniture
Get upto 70% off on Furniture,Flipkart,,GET THE DEAL,http://dealsapply.com/126,19-01-2019,Homeware&Furniture
Get upto 50% off on Wall Clocks,Flipkart,,GET THE DEAL,http://dealsapply.com/127,19-01-2019,Homeware&Furniture
Get upto 60% off onGarden & Outdoor Essentials,Paytm,,GET THE DEAL,http://dealsapply.com/127,19-01-2019,Homeware&Furniture
Get upto 50% off onDecorative Lighting & Lamps,Flipkart,,GET THE DEAL,http://dealsapply.com/127,19-01-2019,Homeware&Furniture
